CPF/CNPJ;Nome Credor;Empenho;Modalidade de Empenho;Tipo de Licitação;Empenhado;Liquidado;Pago
11.250.881/0001-15;3IT CONSULTORIA LTDA;11;;;27453.33;0.00;0.00
11.250.881/0001-15;3IT CONSULTORIA LTDA;22; / SUBEMPENHO 1;;0.00;2900.00;0.00
11.250.881/0001-15;3IT CONSULTORIA LTDA;22; / SUBEMPENHO 2;;0.00;2900.00;0.00
11.250.881/0001-15;3IT CONSULTORIA LTDA;22; / SUBEMPENHO 3;;0.00;2900.00;0.00
11.250.881/0001-15;3IT CONSULTORIA LTDA;22; / SUBEMPENHO 4;;0.00;2900.00;0.00
11.250.881/0001-15;3IT CONSULTORIA LTDA;22; / SUBEMPENHO 5;;0.00;2900.00;0.00
11.250.881/0001-15;3IT CONSULTORIA LTDA;22; / SUBEMPENHO 6;;0.00;2900.00;0.00
11.250.881/0001-15;3IT CONSULTORIA LTDA;22; / SUBEMPENHO 7;;0.00;2900.00;0.00
11.250.881/0001-15;3IT CONSULTORIA LTDA;22; / SUBEMPENHO 8;;0.00;2900.00;0.00
11.250.881/0001-15;3IT CONSULTORIA LTDA;22; / SUBEMPENHO 9;;0.00;2900.00;0.00
11.250.881/0001-15;3IT CONSULTORIA LTDA;22; / SUBEMPENHO 10;;0.00;1353.33;0.00
11.250.881/0001-15;3IT CONSULTORIA LTDA;22;;;0.00;0.00;2900.00
11.250.881/0001-15;3IT CONSULTORIA LTDA;22;;;27453.33;0.00;0.00
11.250.881/0001-15;3IT CONSULTORIA LTDA;22;;;0.00;0.00;2900.00
11.250.881/0001-15;3IT CONSULTORIA LTDA;22;;;0.00;0.00;1353.33
11.250.881/0001-15;3IT CONSULTORIA LTDA;22;;;0.00;0.00;2900.00
11.250.881/0001-15;3IT CONSULTORIA LTDA;22;;;0.00;0.00;2900.00
11.250.881/0001-15;3IT CONSULTORIA LTDA;22;;;0.00;0.00;2900.00
